ENSG00000213593,ENSG00000165168,ENSG00000117616,ENSG00000033050,ENSG00000065413,ENSG00000140455,ENSG00000105819,ENSG00000172534,ENSG00000162819,Group
1,2,2,2,2,2,2,1,3,KRAS
1,2,2,1,0,2,2,1,3,KRAS
1,2,1,1,1,0,2,1,3,KRAS
1,2,2,2,0,2,2,0,3,KRAS
0,2,2,1,1,2,2,1,3,KRAS
2,2,2,2,2,2,2,2,3,KRAS
1,2,1,1,1,2,1,1,3,KRAS
1,2,1,1,1,1,2,1,3,KRAS
0,2,1,2,1,2,2,1,3,KRAS
1,2,1,1,1,2,2,2,3,KRAS
1,3,2,1,2,2,2,1,3,KRAS
0,2,1,0,1,2,2,1,3,KRAS
1,2,1,1,2,1,2,1,3,KRAS
0,2,1,1,1,2,1,0,3,KRAS
0,0,0,0,0,0,0,0,0,WT
0,0,0,0,0,1,3,0,3,WT
0,1,0,0,0,1,2,0,2,WT
0,1,1,2,0,1,1,1,3,WT
0,2,1,0,0,2,0,1,3,WT
0,2,1,1,0,1,2,0,3,WT
0,0,0,0,0,1,0,0,3,WT
0,2,1,0,0,1,1,1,2,WT
1,1,1,0,1,2,2,0,3,WT
1,1,1,2,0,1,2,0,2,WT
0,1,0,1,0,1,0,0,2,WT
0,1,1,0,0,1,1,0,2,WT
0,1,1,0,1,2,1,1,2,WT
0,2,1,0,0,0,0,1,2,WT
0,1,0,0,0,1,0,0,2,WT
0,1,1,0,0,1,1,1,2,WT
0,1,1,1,1,1,1,1,3,WT
0,0,0,0,0,1,0,1,2,WT
0,2,1,0,1,0,1,1,3,WT
0,1,1,0,1,1,1,1,3,WT
0,2,1,0,0,1,0,1,2,WT
0,2,1,1,0,1,1,1,3,WT
0,2,1,2,0,1,1,0,2,WT
0,0,0,0,0,0,0,0,2,WT
0,1,0,2,0,2,0,0,2,WT
0,0,0,0,0,1,2,0,3,WT