ENSG00000052841,ENSG00000170581,ENSG00000065526,ENSG00000127481,ENSG00000108349,ENSG00000167258,ENSG00000036257,ENSG00000119328,ENSG00000006831,ENSG00000223609,Group
1,0,0,3,0,0,0,1,1,0,MET
1,1,0,2,1,1,1,1,1,1,MET
1,1,1,3,1,1,1,1,1,3,MET
1,1,1,3,1,1,0,1,1,1,MET
2,1,1,3,0,1,1,1,1,1,MET
1,1,1,3,1,1,1,1,1,1,MET
2,2,1,3,1,1,1,1,1,1,MET
1,1,1,2,1,1,1,1,1,1,MET
1,1,1,3,1,1,1,1,1,1,MET
0,1,1,3,1,1,1,1,1,1,MET
1,0,0,2,1,1,0,0,1,2,WT
0,0,0,2,0,0,0,1,2,0,WT
0,0,0,2,0,0,0,1,2,2,WT
0,0,0,2,0,0,0,0,0,2,WT
0,0,0,2,0,0,0,0,2,2,WT
0,0,0,0,0,0,0,0,0,3,WT
0,0,0,1,0,0,0,0,2,2,WT
0,0,0,2,0,0,1,0,2,4,WT
0,0,0,2,0,0,0,2,0,2,WT
0,0,0,2,0,0,0,1,2,0,WT
0,0,0,2,0,0,0,0,2,2,WT
0,0,0,4,2,0,0,0,2,3,WT
0,0,0,2,0,0,0,0,1,2,WT
0,0,0,2,0,2,2,2,2,2,WT