HLX,TRIM58,MFAP4,EOMES,RBM24,EN2,Group
3,3,1,1,2,1,G3
3,2,2,3,2,3,G3
3,3,3,3,0,1,G3
3,3,3,3,2,1,G3
3,3,3,3,1,1,G3
4,3,2,0,1,1,G3
1,3,3,3,0,1,G3
3,3,2,1,2,1,G3
2,2,3,2,2,1,G3
3,3,1,1,2,1,G3
3,3,3,1,0,1,G3
3,2,2,1,1,3,G3
4,3,3,1,2,1,G3
1,3,3,3,1,1,G3
1,3,2,1,1,1,G3
1,3,2,3,1,1,G3
0,1,0,4,3,3,G4
0,1,1,4,3,3,G4
1,1,0,4,3,3,G4
0,2,1,4,3,3,G4
1,1,0,4,3,3,G4
1,1,1,1,3,3,G4
1,1,1,4,3,2,G4
0,1,0,4,3,3,G4
0,1,0,4,3,3,G4
1,1,1,4,3,3,G4
1,2,2,4,2,2,G4
1,1,1,4,2,2,G4
1,1,1,4,3,3,G4
1,1,0,3,2,3,G4
0,1,0,3,3,3,G4
2,2,1,2,1,2,G4
1,0,1,4,3,3,G4
1,1,0,4,3,3,G4
1,1,0,4,3,3,G4
0,1,0,4,3,3,G4
1,1,0,4,3,2,G4
1,1,2,4,2,2,G4
2,2,2,4,3,2,G4
0,1,0,4,3,3,G4
1,1,0,2,2,2,G4
1,2,1,4,3,3,G4
1,1,1,4,3,3,G4
0,1,1,4,3,3,G4
1,1,0,4,3,3,G4
0,2,1,4,3,3,G4
0,1,2,4,3,2,G4
1,1,0,4,3,3,G4
0,1,0,4,3,3,G4
0,1,1,4,3,3,G4
1,0,0,4,3,3,G4
0,1,0,4,3,3,G4
1,1,0,4,3,3,G4
1,1,1,4,3,3,G4
0,0,2,4,3,3,G4